name,proname,orgname
Song Qiang,Add Driver Support for AD5940 in the IIO Subsystem,Organization: The Linux Foundation
Vijay Kumar Banerjee,Add Framebuffer driver for Beaglebone Black,Organization: RTEMS Project
Navaneeth Suresh,Add functionality to store an unresolved merge-state,Organization: Python Software Foundation
Manikishan Ghantasala,Add KNF (NetBSD style) clang-format configuration,Organization: The NetBSD Foundation
Amit Joki,Add Multi-Wiki Support to WikiEduDashboard,Organization: Wikimedia Foundation
Pranav Pandey,Add new features on React Native client,Organization: Rocket.Chat
Yash Lamba,Add New Machine Learning Models,Organization: Python Software Foundation
Tejas Joshi,Add new math.h and complex.h functions as built-ins.,Organization: GNU Compiler Collection
Ajat Prabha,Add Plugin Mechanism to the Dashboard,Organization: Cloud Native Computing Foundation (CNCF)
Rucha Deodhar,Add returning to insert,Organization: MariaDB Foundation
Shannon Sequeira,Add subsampling to aster models,Organization: R project for statistical computing
Aswin M Prabhu,Add support for additional delivery channels to Moira,Organization: Moira
berserker1,Add support for bounce processing in core,Organization: GNU Mailman
Elijah Oyekunle,Add Support for Custom Resource Definitions to the Dashboard,Organization: Cloud Native Computing Foundation (CNCF)
Shawn Feng,Add Support for Extra Optimization Solvers to PortfolioAnalytics,Organization: R project for statistical computing
Alejandro Germain,Add support for the OCI runtime spec by implementing a runc stage2,Organization: Cloud Native Computing Foundation (CNCF)
Nikhil Ramakrishnan,Add Support for WOFF2 Fonts to FreeType,Organization: FreeType
Kris Stern,Add Time-dependent Instrument Response Function to IRISpy,Organization: Open Astronomy
Param Bhavsar,Add traditional machine learning algorithms to the Swift TensorFlow library,Organization: TensorFlow
Njagi Mwaniki,Add Variant Graph (VG) support to BioD,Organization: Open Bioinformatics Foundation
Ziao Wang,Add Windows Support for CVE-Binary-Tool,Organization: Python Software Foundation
NilsHoel,Adding  PRU-ICSS drivers to RTEMS on Texas Instrument Sitara SoCs,Organization: RTEMS Project
zed009,Adding (Updating) macOS support to Cuckoo SandBox,Organization: The Honeynet Project
whiterat,Adding and standardizing image processing operations in tf.image,Organization: TensorFlow
Aditya Vitthalrao,Adding Augmented Reality (AR) support to the MapMint4ME Android Application,Organization: OSGeo
Shunji Nishitani,Adding Autocomplete Function in RubyGems.org Search UI,Organization: Ruby
Ryan Lee,Adding Curiosity to TF-Agents,Organization: TensorFlow
Amit Singh,Adding design policy and improving design,Organization: Boost C++
Abdalla mohamed Abounar,Adding Features to Subcircuits,Organization: CircuitVerse.org
Alish Dipani,Adding Magick back-end support and iruby integration to Rubyplot.,Organization: Ruby Science Foundation
ffmancera,Adding missing features in nftables,Organization: Netfilter project
Kartik Sapra,Adding more options in Fabric8-Maven-Plugin for building images,Organization: JBoss Community
Vlad Apetrei,Adding multi-class classification to machine learning backend,Organization: Moodle
sleep-404,Adding new features and Improving DetectionSuite,Organization: JdeRobot - Universidad Rey Juan Carlos
Ziheng Zhou,Adding plotting engine into PerformanceAnalytics package,Organization: R project for statistical computing
Dhayalan Balakrishnan,Adding Privilege escalation functionality to the monkey,Organization: The Honeynet Project
Asami Doi,Adding QEMU/AArch64 Support to Coreboot,Organization: coreboot
Hitesh Kumar Rawat,"Adding SSR, CI/CD, Tests, Geohash, NSFW image classifier, and revamping Datastore and UX",Organization: AOSSIE - Australian Open Source Software Innovation and Education
KunalKushwaha,Adding support for missing resources & missing test coverage in Kubernetes-Client.,Organization: JBoss Community
Moazin,Adding support for OpenType-SVG Fonts to FreeType,Organization: FreeType
Victor Antony,Adding traditional Machine Learning algorithms to Swift for Tensorflow,Organization: TensorFlow
SHREYAS KOWSHIK,Addition Of Baseline Models To Model Zoo,Organization: The Julia Language
Lizabeth Katsnelson,Addition of novel CPTAC proteogenomic datasets to the cBioPortal,Organization: cBioPortal for Cancer Genomics
Xavier Figueroa,Additional Format Support for the Python Libraries,Organization: SPDX (Software Product Data Exchange)
Roberto Hueso Gomez,Advanced Kernel Density Estimation Improvements,Organization: mlpack
Caner Akdaş,"Advanced Node, Edge, Arrow Plugin Library",Organization: Computational Biology @ University of Nebraska-Lincoln
PRAGATI AGRAWAL,Advancement/Improvement of Settings Subsystem. (Zulip-Server),Organization: Zulip Open Source Project
Panagiotis Lantavos,Adversarial Examples for Natural Language Models,"Organization: CLiPS, University of Antwerp"
Angafor Brandon,Agora,Organization: AOSSIE - Australian Open Source Software Innovation and Education
Bomen Derick,Agora Slack Application,Organization: AOSSIE - Australian Open Source Software Innovation and Education
Mukul Kumar,Agora Vote Android Application- Mukul Kumar,Organization: AOSSIE - Australian Open Source Software Innovation and Education
Chirag Singhal,Agora-web Proposal GSOC 2019,Organization: AOSSIE - Australian Open Source Software Innovation and Education
Thanh Trung Dinh,AI Face Recognition with OpenCV DNN module,Organization: KDE Community
Albert Morea,AirMashup for Liquid Galaxy,Organization: Liquid Galaxy project
Rajat Singhal,AirSim Simulator Support for Ardupilot SITL,Organization: Ardupilot.org
Dimitrios Styliaras,Ajax based interface Cscout,Organization: Open Technologies Aliance - GFOSS
Abhishek Chauhan,Alert Redistribution System for Fink : an Apache Spark based Broker for Astronomy,Organization: CERN-HSF
Ashish Jha,Alexa Skill for Rocket.Chat,Organization: Rocket.Chat
Yashas Samaga B L,Allow the OpenCV's DNN module to work with GPUs,Organization: OpenCV
Sukhbir Singh,Amahi 12 Improvements,Organization: Amahi
Vishwas Mittal,Amahi-Anywhere Improvements,Organization: Amahi
Mikhaelle Bueno,Amaya,Organization: Catrobat
Alexey Mogilyovkin,An ambitious step into mariadb developers society,Organization: MariaDB Foundation
Jingrui Li,An application for Céu-Arduino,Organization: LabLua
snowkylin,An Extended Version of “A Concise Handbook of TensorFlow” And A Library of Extended Keras Layers for TF 2.0,Organization: TensorFlow
Caio Tonetti,An Improved Graph Theory IDE,Organization: KDE Community
Daniel Xia,An R package for two new skew-t distributions,Organization: R project for statistical computing
Alaa Salman,Analysis of WARP-V on FireSim with RocketChip,Organization: Free and Open Source Silicon Foundation
Tanmai Khanna,Anaphora Resolution,Organization: Apertium
dev-ritik,Android app improvement,Organization: Named Data Networking Project
Balaji Ramavathu,Android App Improvements,Organization: Amahi
